prot_1 prot_2 force
AcewooTOPz_X_B AcearaTOPz_X_B 21 
AchxylTOPa_X_B AccphoTOPz_X_B 21 
AciaveTOPz_X_B AccphoTOPz_X_B 21 
AciaveTOPz_X_B AchxylTOPa_X_B 21 
AcibayTOPz_X_B AcibauTOPz_X_B 21 
AcibooRGz_T_A AcamarTOPb_M_B 21 
AcicalTOPz_X_B AcibauTOPz_X_B 21 
AcicalTOPz_X_B AcibayTOPz_X_B 21 
AcicitTOPb_M_B AccphoTOPz_X_B 21 
AcicitTOPb_M_B AchxylTOPa_X_B 21 
AcicitTOPb_M_B AciaveTOPz_X_B 21 
AcicryTOPz_M_B AcepasTOPz_X_B 21 
AciebrTOPz_M_B AccphoTOPz_X_B 21 
AciebrTOPz_M_B AchxylTOPa_X_B 21 
AciebrTOPz_M_B AciaveTOPz_X_B 21 
AciebrTOPz_M_B AcicitTOPb_M_B 21 
AferE1TOPa_M_B AcalE1TOPb_X_B 21 
AcerE1TOPb_M_B AcalE1TOPc_X_B 21 
AferE1TOPc_M_B AcamarTOPb_M_B 21 
AferE1TOPc_M_B AcibooRGz_T_A 21 
AferE2TOPz_M_B AcearaTOPz_X_B 21 
AferE2TOPz_M_B AcewooTOPz_X_B 21 
AferE3TOPa_X_B AcamarTOPb_M_B 21 
AferE3TOPa_X_B AcibooRGz_T_A 21 
AferE3TOPa_X_B AferE1TOPc_M_B 21 
AferE3TOPb_X_B AcalE1TOPc_X_B 21 
AferE3TOPb_X_B AcerE1TOPb_M_B 21 
AferE3TOPc_X_B AcalE1TOPb_X_B 21 
AferE3TOPc_X_B AferE1TOPa_M_B 21 
AcihosRGa_X_A AcamarTOPb_M_B 21 
AcihosRGa_X_A AcibooRGz_T_A 21 
AcihosRGa_X_A AferE1TOPc_M_B 21 
AcihosRGa_X_A AferE3TOPa_X_B 21 
AcihosRGb_X_A AcamarTOPb_M_B 21 
AcihosRGb_X_A AcibooRGz_T_A 21 
AcihosRGb_X_A AferE1TOPc_M_B 21 
AcihosRGb_X_A AferE3TOPa_X_B 21 
AcihosRGb_X_A AcihosRGa_X_A 21 
AcihosTOPz_X_A AcibooTOPz_T_A 21 
AciintTOPz_X_B AcearaTOPz_X_B 21 
AciintTOPz_X_B AcewooTOPz_X_B 21 
AciintTOPz_X_B AferE2TOPz_M_B 21 
AcimulTOPz_X_B AcepasTOPz_X_B 21 
AcimulTOPz_X_B AcicryTOPz_M_B 21 
AcioleTOPz_X_B AcibauTOPz_X_B 21 
AcioleTOPz_X_B AcibayTOPz_X_B 21 
AcioleTOPz_X_B AcicalTOPz_X_B 21 
AcisacRGz_T_A AcamarTOPb_M_B 21 
AcisacRGz_T_A AcibooRGz_T_A 21 
AcisacRGz_T_A AferE1TOPc_M_B 21 
AcisacRGz_T_A AferE3TOPa_X_B 21 
AcisacRGz_T_A AcihosRGa_X_A 21 
AcisacRGz_T_A AcihosRGb_X_A 21 
AcisacTOPz_T_A AcibooTOPz_T_A 21 
AcisacTOPz_T_A AcihosTOPz_X_A 21 
Aci.E1TOPa_M_B AchxylTOPb_X_B 21 
Aci.E1TOPb_M_B AchxylTOPb_X_B 21 
Aci.E1TOPb_M_B Aci.E1TOPa_M_B 21 
Aci.E1TOPc_M_B AccphoTOPz_X_B 21 
Aci.E1TOPc_M_B AchxylTOPa_X_B 21 
Aci.E1TOPc_M_B AciaveTOPz_X_B 21 
Aci.E1TOPc_M_B AcicitTOPb_M_B 21 
Aci.E1TOPc_M_B AciebrTOPz_M_B 21 
Aci.E1TOPd_M_B AchxylTOPb_X_B 21 
Aci.E1TOPd_M_B Aci.E1TOPa_M_B 21 
