nom_prot regne type milieu
ATMG00990_120_residues_endo._reticulum m 990 l 
AT1G51913_78_residues_endo._reticulum m 913 l 
AT3G44115_116_residues_endo._reticulum m 115 l 
AT4G18510_76_residues_endo._reticulum m 510 l 
AT3G45275_115_residues_endo._reticulum m 275 l 
AT3G01322_105_residues_endo._reticulum m 322 l 
AT1G45215_116_residues_endo._reticulum m 215 l 
AT2G02120_78_residues_endo._reticulum m 120 l 
AT3G13437_71_residues_endo._reticulum m 437 l 
AT1G65845_105_residues_endo._reticulum m 845 l 
AT1G68795_119_residues_endo._reticulum m 795 l 
AT2G14846_100_residues_endo._reticulum m 846 l 
AT2G02498_109_residues_endo._reticulum m 498 l 
AT5G58375_86_residues_endo._reticulum m 375 l 
AT5G22875_70_residues_endo._reticulum m 875 l 
AT2G25305_84_residues_endo._reticulum m 305 l 
AT1G77093_79_residues_endo._reticulum m 093 l 
AT1G66145_102_residues_endo._reticulum m 145 l 
AT5G39493_133_residues_endo._reticulum m 493 l 
AT1G48140_90_residues_endo._reticulum m 140 l 
AT5G39365_90_residues_endo._reticulum m 365 l 
AT2G41415_75_residues_endo._reticulum m 415 l 
AT3G49780_80_residues_endo._reticulum m 780 l 
AT3G53980_115_residues_endo._reticulum m 980 l 
AT5G46871_79_residues_endo._reticulum m 871 l 
AT4G10115_97_residues_endo._reticulum m 115 l 
AT2G19146_96_residues_endo._reticulum m 146 l 
AT2G07701_107_residues_endo._reticulum m 701 l 
ATCG00440_121_residues_endo._reticulum m 440 l 
AT1G77350_123_residues_endo._reticulum m 350 l 
AT5G36720_88_residues_endo._reticulum m 720 l 
AT5G36550_119_residues_endo._reticulum m 550 l 
AT5G36190_146_residues_endo._reticulum m 190 l 
ATMG00680_123_residues_endo._reticulum m 680 l 
AT3G07005_79_residues_endo._reticulum m 005 l 
AT4G11760_97_residues_endo._reticulum m 760 l 
AT1G14755_79_residues_endo._reticulum m 755 l 
AT4G29548_72_residues_endo._reticulum m 548 l 
AT1G11572_90_residues_endo._reticulum m 572 l 
AT3G25170_77_residues_endo._reticulum m 170 l 
AT4G10767_110_residues_endo._reticulum m 767 l 
AT5G46877_88_residues_endo._reticulum m 877 l 
AT1G34820_93_residues_endo._reticulum m 820 l 
AT3G09735_74_residues_endo._reticulum m 735 l 
AT5G48490_102_residues_endo._reticulum m 490 l 
AT4G20420_143_residues_endo._reticulum m 420 l 
AT3G61177_76_residues_endo._reticulum m 177 l 
AT2G19045_73_residues_endo._reticulum m 045 l 
AT4G29103_71_residues_endo._reticulum m 103 l 
AT1G55546_132_residues_endo._reticulum m 546 l 
AT1G12090_138_residues_endo._reticulum m 090 l 
AT3G03160_131_residues_endo._reticulum m 160 l 
AT5G40980_70_residues_endo._reticulum m 980 l 
AT1G62510_150_residues_endo._reticulum m 510 l 
AT1G15757_84_residues_endo._reticulum m 757 l 
AT5G15000_99_residues_endo._reticulum m 000 l 
AT2G31940_121_residues_endo._reticulum m 940 l 
AT2G05335_102_residues_endo._reticulum m 335 l 
AT3G22415_68_residues_endo._reticulum m 415 l 
AT5G38197_97_residues_endo._reticulum m 197 l 
AT1G24520_120_residues_endo._reticulum m 520 l 
AT4G40042_94_residues_endo._reticulum m 042 l 
AT2G06166_104_residues_endo._reticulum m 166 l 
AT2G41905_62_residues_endo._reticulum m 905 l 
AT2G05530_116_residues_endo._reticulum m 530 l 
AT3G03826_76_residues_endo._reticulum m 826 l 
AT3G27027_70_residues_endo._reticulum m 027 l 
AT2G47200_89_residues_endo._reticulum m 200 l 
AT5G36662_119_residues_endo._reticulum m 662 l 
AT1G02620_123_residues_endo._reticulum m 620 l 
AT5G19315_81_residues_endo._reticulum m 315 l 
AT1G66850_103_residues_endo._reticulum m 850 l 
AT2G41997_90_residues_endo._reticulum m 997 l 
AT5G44568_76_residues_endo._reticulum m 568 l 
AT4G09090_117_residues_endo._reticulum m 090 l 
AT2G47930_137_residues_endo._reticulum m 930 l 
AT5G62080_96_residues_endo._reticulum m 080 l 
AT2G05117_91_residues_endo._reticulum m 117 l 
AT5G19800_97_residues_endo._reticulum m 800 l 
AT5G10430_136_residues_endo._reticulum m 430 l 
AT4G29300_78_residues_endo._reticulum m 300 l 
AT1G62000_149_residues_endo._reticulum m 000 l 
AT3G22053_150_residues_endo._reticulum m 053 l 
AT1G35035_93_residues_endo._reticulum m 035 l 
AT3G01324_103_residues_endo._reticulum m 324 l 
AT4G12545_109_residues_endo._reticulum m 545 l 
AT3G54085_79_residues_endo._reticulum m 085 l 
AT5G54145_64_residues_endo._reticulum m 145 l 
AT3G29970_88_residues_endo._reticulum m 970 l 
AT3G60647_66_residues_endo._reticulum m 647 l 
AT4G11393_79_residues_endo._reticulum m 393 l 
AT5G42895_123_residues_endo._reticulum m 895 l 
AT5G46890_128_residues_endo._reticulum m 890 l 
AT1G13755_120_residues_endo._reticulum m 755 l 
AT1G68760_148_residues_endo._reticulum m 760 l 
AT1G73603_91_residues_endo._reticulum m 603 l 
AT1G32763_82_residues_endo._reticulum m 763 l 
AT4G01245_119_residues_endo._reticulum m 245 l 
AT5G08315_83_residues_endo._reticulum m 315 l 
AT2G20465_90_residues_endo._reticulum m 465 l 
AT1G51915_68_residues_endo._reticulum m 915 l 
AT4G30050_134_residues_endo._reticulum m 050 l 
AT3G05730_87_residues_endo._reticulum m 730 l 
AT1G57775_116_residues_endo._reticulum m 775 l 
AT5G59310_113_residues_endo._reticulum m 310 l 
AT2G20595_70_residues_endo._reticulum m 595 l 
AT2G32487_65_residues_endo._reticulum m 487 l 
AT1G55675_92_residues_endo._reticulum m 675 l 
AT5G60615_80_residues_endo._reticulum m 615 l 
AT1G30515_145_residues_endo._reticulum m 515 l 
AT3G01230_127_residues_endo._reticulum m 230 l 
AT1G29418_89_residues_endo._reticulum m 418 l 
AT1G19500_81_residues_endo._reticulum m 500 l 
AT5G40970_70_residues_endo._reticulum m 970 l 
AT5G42957_118_residues_endo._reticulum m 957 l 
AT3G16570_139_residues_endo._reticulum m 570 l 
AT5G09520_131_residues_endo._reticulum m 520 l 
AT1G19397_99_residues_endo._reticulum m 397 l 
AT3G11825_101_residues_endo._reticulum m 825 l 
AT5G12235_104_residues_endo._reticulum m 235 l 
AT3G15358_145_residues_endo._reticulum m 358 l 
AT2G31085_82_residues_endo._reticulum m 085 l 
AT2G04830_101_residues_endo._reticulum m 830 l 
AT1G07175_72_residues_endo._reticulum m 175 l 
AT3G01730_88_residues_endo._reticulum m 730 l 
AT1G17285_96_residues_endo._reticulum m 285 l 
AT5G43066_75_residues_endo._reticulum m 066 l 
AT4G04632_108_residues_endo._reticulum m 632 l 
AT2G11405_116_residues_endo._reticulum m 405 l 
AT3G18280_97_residues_endo._reticulum m 280 l 
AT5G54225_83_residues_endo._reticulum m 225 l 
AT4G27654_68_residues_endo._reticulum m 654 l 
AT1G02405_135_residues_endo._reticulum m 405 l 
AT2G10535_84_residues_endo._reticulum m 535 l 
AT5G66815_106_residues_endo._reticulum m 815 l 
AT4G12550_112_residues_endo._reticulum m 550 l 
AT1G21864_94_residues_endo._reticulum m 864 l 
AT2G34585_82_residues_endo._reticulum m 585 l 
AT5G03090_98_residues_endo._reticulum m 090 l 
AT4G13261_150_residues_endo._reticulum m 261 l 
AT5G54220_97_residues_endo._reticulum m 220 l 
AT4G09465_117_residues_endo._reticulum m 465 l 
ATCG01070_102_residues_endo._reticulum m 070 l 
AT1G34840_88_residues_endo._reticulum m 840 l 
AT2G18970_63_residues_endo._reticulum m 970 l 
AT2G28355_79_residues_endo._reticulum m 355 l 
ATMG00650_101_residues_endo._reticulum m 650 l 
AT5G19172_85_residues_endo._reticulum m 172 l 
AT1G53620_102_residues_endo._reticulum m 620 l 
AT1G63057_117_residues_endo._reticulum m 057 l 
AT3G08770_118_residues_endo._reticulum m 770 l 
AT1G70985_136_residues_endo._reticulum m 985 l 
AT3G02885_98_residues_endo._reticulum m 885 l 
AT4G13263_150_residues_endo._reticulum m 263 l 
AT1G13620_110_residues_endo._reticulum m 620 l 
AT3G44735_82_residues_endo._reticulum m 735 l 
AT3G44280_109_residues_endo._reticulum m 280 l 
AT1G61563_83_residues_endo._reticulum m 563 l 
AT2G46330_74_residues_endo._reticulum m 330 l 
AT4G16515_87_residues_endo._reticulum m 515 l 
AT2G43535_98_residues_endo._reticulum m 535 l 
AT5G56368_94_residues_endo._reticulum m 368 l 
AT3G04540_81_residues_endo._reticulum m 540 l 
AT1G21866_94_residues_endo._reticulum m 866 l 
AT5G36480_119_residues_endo._reticulum m 480 l 
AT1G31335_71_residues_endo._reticulum m 335 l 
AT5G43510_91_residues_endo._reticulum m 510 l 
AT3G57690_62_residues_endo._reticulum m 690 l 
AT5G56480_114_residues_endo._reticulum m 480 l 
AT3G57850_91_residues_endo._reticulum m 850 l 
AT3G24065_136_residues_endo._reticulum m 065 l 
AT1G52342_88_residues_endo._reticulum m 342 l 
AT3G03272_121_residues_endo._reticulum m 272 l 
AT5G58790_66_residues_endo._reticulum m 790 l 
AT1G34830_93_residues_endo._reticulum m 830 l 
AT4G22212_89_residues_endo._reticulum m 212 l 
AT5G41440_125_residues_endo._reticulum m 440 l 
AT1G11850_109_residues_endo._reticulum m 850 l 
AT4G34600_84_residues_endo._reticulum m 600 l 
AT1G12665_90_residues_endo._reticulum m 665 l 
AT5G53486_105_residues_endo._reticulum m 486 l 
AT4G22513_116_residues_endo._reticulum m 513 l 
AT5G19175_83_residues_endo._reticulum m 175 l 
AT5G38980_93_residues_endo._reticulum m 980 l 
AT1G12390_138_residues_endo._reticulum m 390 l 
AT2G20597_85_residues_endo._reticulum m 597 l 
AT2G04622_82_residues_endo._reticulum m 622 l 
AT3G61172_75_residues_endo._reticulum m 172 l 
AT5G15230_107_residues_endo._reticulum m 230 l 
AT5G48210_104_residues_endo._reticulum m 210 l 
AT5G08185_77_residues_endo._reticulum m 185 l 
AT2G03933_76_residues_endo._reticulum m 933 l 
AT4G33666_80_residues_endo._reticulum m 666 l 
AT4G30070_130_residues_endo._reticulum m 070 l 
AT2G40880_126_residues_endo._reticulum m 880 l 
AT5G61880_114_residues_endo._reticulum m 880 l 
AT3G48675_120_residues_endo._reticulum m 675 l 
AT4G29290_78_residues_endo._reticulum m 290 l 
AT1G60986_98_residues_endo._reticulum m 986 l 
AT2G31005_82_residues_endo._reticulum m 005 l 
AT1G33607_82_residues_endo._reticulum m 607 l 
AT5G42785_116_residues_endo._reticulum m 785 l 
AT2G03936_82_residues_endo._reticulum m 936 l 
AT5G04045_98_residues_endo._reticulum m 045 l 
AT3G28455_82_residues_endo._reticulum m 455 l 
AT1G62225_144_residues_endo._reticulum m 225 l 
AT3G17080_135_residues_endo._reticulum m 080 l 
AT3G49300_87_residues_endo._reticulum m 300 l 
AT5G66816_102_residues_endo._reticulum m 816 l 
AT2G22941_83_residues_endo._reticulum m 941 l 
AT2G26865_79_residues_endo._reticulum m 865 l 
AT2G26010_81_residues_endo._reticulum m 010 l 
AT3G01325_103_residues_endo._reticulum m 325 l 
AT4G30660_75_residues_endo._reticulum m 660 l 
AT1G34825_93_residues_endo._reticulum m 825 l 
AT5G63065_64_residues_endo._reticulum m 065 l 
